room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
entire home/apt,lisbon,campo de ourique,4.0,5.0,16,10.0,1080.0,imperium lisbon village
entire home/apt,lisbon,arroios,2.0,0.0,16,7.0,870.0,artistic apartment w/ 7 bedrooms - lisbon downtown
entire home/apt,lisbon,misericórdia,28.0,5.0,16,10.0,800.0,chiado_apartments_9rooms
entire home/apt,lisbon,misericórdia,28.0,5.0,16,10.0,673.0,lost lisbon :: cais house
shared room,lisbon,avenidas novas,6.0,4.0,6,1.0,18.0,swallow hostel 5 sinta-se em casa!
shared room,lisbon,santa maria maior,27.0,4.5,6,1.0,24.0,5 sins chiado hostel - 6 beds dorm
shared room,lisbon,estrela,20.0,4.0,8,1.0,18.0,kab+1 hostel - london room
shared room,lisbon,areeiro,4.0,5.0,1,1.0,14.0,beautiful room near downtown lisbon 1
shared room,lisbon,santa maria maior,1.0,0.0,1,1.0,24.0,lisboa tu & eu - iii
shared room,lisbon,arroios,1.0,0.0,5,1.0,18.0,hostel seven hills - quarto s. catarina
shared room,lisbon,misericórdia,13.0,4.5,6,1.0,22.0,best place in lisbon 6bed
shared room,lisbon,arroios,57.0,4.5,6,1.0,14.0,fly to lisbon hostel  6 mixed bed dorm
shared room,lisbon,misericórdia,22.0,5.0,8,1.0,18.0,bed in elegant 8 bedded dormitory
shared room,lisbon,avenidas novas,1.0,0.0,9,1.0,15.0,nesthouse lisbon hostel mixed dorm
shared room,lisbon,santa maria maior,8.0,4.5,1,1.0,12.0,lisbon cozy flat - bunk beds 3
shared room,lisbon,santa clara,2.0,0.0,2,1.0,10.0,shared bedroom at 10min from airport
shared room,lisbon,santo antónio,2.0,0.0,1,1.0,24.0,bed in a 6 mixed dorm shared wc
shared room,lisbon,santo antónio,8.0,5.0,4,1.0,12.0,low cost hostel marques gardens 4 bed dorm
shared room,lisbon,alvalade,13.0,5.0,1,1.0,21.0,dormbed2 in nesha guesthouse lisbon
shared room,lisbon,arroios,14.0,4.5,4,1.0,12.0,quarto dormitório partilhado centro de lisboa
shared room,lisbon,santa maria maior,6.0,5.0,10,1.0,15.0,lisbon destination hostel - dormitories
shared room,lisbon,belém,9.0,4.0,8,1.0,16.0,belém guest house
shared room,lisbon,arroios,18.0,4.5,4,1.0,28.0,historical area near tram stops
shared room,lisbon,areeiro,52.0,4.5,4,1.0,18.0,mini hostel in lisbon. room for 4 guests
shared room,lisbon,estrela,5.0,4.5,7,1.0,14.0,kab+1 hostel - new york room
shared room,lisbon,arroios,1.0,0.0,7,1.0,15.0,guest house & hostel - lb
shared room,lisbon,são vicente,38.0,4.5,6,1.0,27.0,alfama patio hostel - 6 bed dorm
shared room,lisbon,areeiro,18.0,5.0,1,1.0,18.0,beautiful room near downtown lisbon 3
shared room,lisbon,penha de frança,16.0,4.5,2,1.0,30.0,comfortable sofa bed in lovely living room
shared room,lisbon,santo antónio,5.0,4.0,16,1.0,30.0,brother`s hostel
shared room,lisbon,são vicente,18.0,4.5,1,1.0,13.0,lisbon arte hostel
shared room,lisbon,arroios,45.0,4.5,1,1.0,16.0,single bed mixed dormitory
shared room,lisbon,santa maria maior,33.0,4.5,6,1.0,22.0,bed in a 6-bed dorm @ this is lisbon hostel
shared room,lisbon,santa maria maior,36.0,4.5,9,1.0,22.0,5 sins chiado hostel 9 bed dorm
shared room,lisbon,avenidas novas,21.0,4.0,6,1.0,18.0,swallow hostel 4 sinta se em casa!
shared room,lisbon,santa maria maior,8.0,5.0,1,1.0,24.0,lisboa tu & eu hostel - i
shared room,lisbon,misericórdia,40.0,4.5,16,1.0,18.0,"royal prince hostel, em  lisboa"
shared room,lisbon,santa maria maior,6.0,4.5,6,1.0,24.0,"sky beds lisbon | downtown lisbon, heart of city"
shared room,lisbon,santo antónio,44.0,4.0,16,1.0,25.0,bed in 6-bed mixed shared dorm. 
shared room,lisbon,avenidas novas,13.0,4.5,6,1.0,20.0,shared mixed bunkbed room 2
shared room,lisbon,misericórdia,16.0,4.5,6,1.0,22.0,bed & breakfast(6 bed room with shear bathroom)
shared room,lisbon,areeiro,18.0,5.0,1,1.0,24.0,sofa bed for rent in living room
shared room,lisbon,arroios,17.0,4.5,5,1.0,15.0,hostel seven hills - sant´ana room
shared room,lisbon,arroios,91.0,5.0,1,1.0,24.0,be lisbon hostel
shared room,lisbon,santo antónio,1.0,0.0,1,1.0,25.0,bed in a 4 mixed dorm shared wc
shared room,lisbon,misericórdia,32.0,4.5,2,1.0,30.0,single bed in elegant dormitory
shared room,lisbon,santa maria maior,18.0,4.5,1,1.0,15.0,lisbon cozy flat - bunk beds 8
